blueprint,link,submittedAt,title
"19746b05-500e-565b-bc9e-5bc8a7b6491f","https://xkcd.com/2916/#xt=3&yt=22&v=341","2024-04-07T05:10:03.745752261Z","how2colorsort"
"81fcc5f4-0510-57a7-832c-7e06565b8dd0","https://xkcd.com/2916/#xt=4&yt=2&v=29","2024-04-06T17:30:38.604059911Z","sierpinski"
"00bdd63e-6e8d-5622-ae5b-8627065a87b2","https://xkcd.com/2916/#xt=9&yt=20&v=323","2024-04-07T04:18:11.536772153Z","green machine"
"c20f82f3-d849-5e83-9c19-2114acdf1f6b","https://xkcd.com/2916/#xt=4&yt=37&v=545","2024-04-08T13:23:58.446973423Z","Diamond Bonk"
"56ea6737-c823-502a-9186-46bd2e691e32","https://xkcd.com/2916/#xt=6&yt=31&v=457","2024-04-07T21:22:28.044840956Z","swat team"
"6dd9a2eb-457e-5846-b7d8-3c4b1f3734e2","https://xkcd.com/2916/#xt=7&yt=28&v=429","2024-04-07T19:12:02.153725903Z","arthur"
"eb879bae-a179-5f60-8ddf-ac3245399b10","https://xkcd.com/2916/#xt=10&yt=29&v=442","2024-04-07T20:06:01.053315114Z","Go KiTty!"
"984fbe05-646f-5634-af4e-42bf1be660ef","https://xkcd.com/2916/#xt=3&yt=66&v=903","2024-04-12T21:07:11.573941558Z","Fun with the wind"
"d52d5582-bedc-5332-9443-cbe4c9eacfa5","https://xkcd.com/2916/#xt=7&yt=9&v=139","2024-04-06T18:37:20.936161449Z","Flappy_Rake"
"416eb998-ca31-52d1-af9c-f7273f69afd7","https://xkcd.com/2916/#xt=3&yt=25&v=395","2024-04-07T12:31:13.010294658Z","Cyclotronics"
"ace066c6-dcdb-5722-98f8-77b6ea5fbcfa","https://xkcd.com/2916/#xt=10&yt=51&v=712","2024-04-09T22:45:23.843865261Z","The Snail"
"2bdc4591-1848-5f73-a34e-af2bd5c03c81","https://xkcd.com/2916/#xt=4&yt=5&v=58","2024-04-06T19:20:39.02711681Z","I like big bonks and I cannot lie"
"19778d2e-7290-5531-84a0-fbfefaf1e168","https://xkcd.com/2916/#xt=8&yt=38&v=525","2024-04-07T17:25:13.691486583Z","Redefining Down"
"c231b022-4ed7-599d-8230-25da65531997","https://xkcd.com/2916/#xt=1&yt=85&v=1134","2024-04-23T23:05:51.957367369Z","pneumonoultramicroscopicsilicovolcanoconiosis is a word"
"6deb859d-fe5e-5089-b815-177187bef6c2","https://xkcd.com/2916/#xt=8&yt=48&v=680","2024-04-09T16:02:07.082518829Z","ziggity"
"5737ee03-136a-59f7-9f25-c5f7a5a8b675","https://xkcd.com/2916/#xt=3&yt=16&v=265","2024-04-07T02:55:58.575855749Z","Thread the needle"
"821cb7c5-ddb4-51d9-88de-146fcdc24541","https://xkcd.com/2916/#xt=4&yt=50&v=707","2024-04-09T18:50:53.748038957Z","The Hard Way"
"00d5fb5e-a1b5-5059-ba8f-555a16c42336","https://xkcd.com/2916/#xt=6&yt=12&v=175","2024-04-06T23:04:13.610507389Z","opposite direction"
"98728225-d485-547a-a42d-2347645ba044","https://xkcd.com/2916/#xt=0&yt=36&v=513","2024-04-08T04:20:32.321105255Z","Cat Physics"
"ec63c663-e992-55f3-9dbb-6ab5304f7dd3","https://xkcd.com/2916/#xt=6&yt=23&v=370","2024-04-07T06:03:10.832777708Z","I Can't Believe It's Not Bonk"
"ad0331e0-efcb-52a8-9c07-b81bd2328291","https://xkcd.com/2916/#xt=5&yt=25&v=397","2024-04-07T10:03:39.245748473Z","Average Boston Road"
"d5e8e783-3ffb-553b-be4e-ca9e92fbcb79","https://xkcd.com/2916/#xt=11&yt=24&v=374","2024-04-07T06:22:27.202119686Z","swords of teleportation"
"418f131c-8b50-5e39-99d4-8d1b719fd2e4","https://xkcd.com/2916/#xt=6&yt=52&v=734","2024-04-10T07:18:35.473860851Z","super sorter 6000"
"2c166efe-27ac-5cc0-a1dc-5ce472f9bc58","https://xkcd.com/2916/#xt=5&yt=3&v=56","2024-04-06T19:15:11.275361674Z","a walk in the park"
"1989019c-ac68-508e-8108-3bc2fcfd3ac9","https://xkcd.com/2916/#xt=1&yt=80&v=1072","2024-04-21T21:30:00.204233945Z","Apologies to the next person"
"ec8c6002-4d16-5a73-a392-2bd2f8045e90","https://xkcd.com/2916/#xt=6&yt=39&v=577","2024-04-08T17:33:55.036030537Z","Ol' Reliable"
"827b83ec-0db8-587a-8426-9db0afd21f93","https://xkcd.com/2916/#xt=1&yt=50&v=703","2024-04-09T18:56:16.908507057Z","get in the bun pit"
"ad3a6fed-9a61-58b6-9fcb-bdf1d518a0c6","https://xkcd.com/2916/#xt=6&yt=26&v=406","2024-04-07T18:02:14.165895512Z","Squirrels all the way down"
"6dfbdfda-1e81-56a0-9a77-8cd6fad80273","https://xkcd.com/2916/#xt=1&yt=22&v=305","2024-04-07T03:43:30.438427812Z","too care to drunk"
"c27d2d06-2a6f-5fc2-a503-b2e494716767","https://xkcd.com/2916/#xt=3&yt=62&v=853","2024-04-12T01:02:35.57925157Z","Four nines of uptime"
"d602922a-98e7-5968-b5b0-425abd9cb9dd","https://xkcd.com/2916/#xt=9&yt=0&v=14","2024-04-06T17:04:05.824716541Z","Pride Plinko"
"41ac3dc2-45b8-52a6-9430-fc47528cd79a","https://xkcd.com/2916/#xt=6&yt=82&v=1111","2024-04-22T12:45:14.327421479Z","The bunny observes"
"01079bf3-9558-5b8b-aaa2-8ffebe7e0945","https://xkcd.com/2916/#xt=6&yt=79&v=1067","2024-04-19T19:28:07.572585531Z","Boing lift separator"
